OBJECTID,DATA_DATE,ROUTE_COMM,HTRIS_ID,ROUTE_ALIA,START_LABE,END_LABEL,ADT,ADT_QUALIT,PERCENT_4_,PERCENT_BU,PERCENT_TR,PERCENT__1,PERCENT__2,PERCENT__3,CLASS_QUAL,K_FACTOR,K_FACTOR_Q,DIRECTION_,AAWDT,AAWDT_QUAL,LOC_COMP_D,ROUTE_FROM,FROM_JURIS,ROUTE_TO_M,TO_JURISDI,PEAK_SINGL,PEAK_COMBI,DATA_CUSTO,METADATA_U,ROUTE_NAME,EVENT_SOUR,EVENT_LOCA,EVENT_COMP,MAXIMUMSCA,ROUTE_CO_1,DATA_YEARO,Shape_STLength__,Shape_Length
2570,05-JUN-09,SC-1856N (Roanoke County),  8001856,80-1856 College Dr,80-1807 Dallas Rd,Dead End,200,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.23,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01856NB,767091,1,1,24000,SC-1856N (Roanoke County) - ADT 200,2009,440.17681622,0.0037199407825507
2571,12-OCT-11,SC-1472E (Franklin County),  3301472,33-1472 Rhonda Dr,33-1470 Windtree Dr,Cul-de-Sac,40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.06,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01472EB,739159,1,1,48000,SC-1472E (Franklin County) - ADT 40,2011,105.05868006,0.000939153330024911
2572,19-AUG-11,SC-1353N (Franklin County),  3301353,33-1353 Boxwoodgreen Dr,33-1357 Royal Court,33-1354 Queen Mothers Court,190,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.15,Franklin County,0.33,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01353NB,739088,1,1,48000,SC-1353N (Franklin County) - ADT 190,2011,362.89840702,0.00265159929907937
2573,21-DEC-07,SC-1260N (Montgomery County),  6001260,60-1260 Woodland Hills Dr,60-1261 Cedar Walk,"60-723 N, Lusters Gate Rd",120,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,1.6,Montgomery County,1.7,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC01260NB,754257,1,1,48000,SC-1260N (Montgomery County) - ADT 120,2007,187.82362264,0.00158845741821387
2574,24-JUL-09,SC-1350N (Roanoke County),  8001350,80-1350 Lynnson Dr,Dead End,80-686 Grandin Rd Ext,100,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.23,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01350NB,766461,1,1,48000,SC-1350N (Roanoke County) - ADT 100,2009,207.42609343,0.00150474249334439
2575,03-APR-12,SC-798N (Floyd County),  3100798,31-798 Woods Gap Rd,31-710 Storkers Knob Rd,SCL Floyd,1700,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Floyd County,0.78,Floyd County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA031SC00798NB,737836,1,1,48000,SC-798N (Floyd County) - ADT 1700,2012,1258.14250818,0.00954581675384024
2576,18-SEP-06,SC-945E (Roanoke County),  8000945,80-945 Sun Valley Lane,SR 116 Jae Valley Rd,Dead End,100,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.25,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00945EB,766050,1,1,48000,SC-945E (Roanoke County) - ADT 100,2006,499.88460605,0.00443825681355664
2577,21-AUG-09,SC-1293E (Roanoke County),  8001293,80-1293 Red Stag Rd,Cul-de-Sac,80-1290 Crossbow Circle,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.14,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01293EB,766400,1,1,24000,SC-1293E (Roanoke County) - ADT 70,2009,271.23587935,0.00229194241133716
2578,19-AUG-09,SC-1010N (Roanoke County),  8001010,80-1010 Maplewood Dr,80-1026 Woodmere Dr,SR 24 Washington Ave,510,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.09,Roanoke County,0.45,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01010NB,766087,1,1,24000,SC-1010N (Roanoke County) - ADT 510,2009,736.62567041,0.00575515100947939
2579,11-JUL-08,SC-646N (Franklin County),  3300646,33-646 Doe Run Rd,33-652 Circle Creek,33-890 Snow Creek Rd,460,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,4.05,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00646NB,738247,1,1,48000,SC-646N (Franklin County) - ADT 460,2008,7904.18761894,0.0617156514180542
2580,04-NOV-11,SC-1116N (Franklin County),  3301116,33-1116 Kamp Branch Rd,Dead End,33-1115 Dodee Lane,30,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.06,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01116NB,738936,1,1,48000,SC-1116N (Franklin County) - ADT 30,2011,152.59831037,0.00116657140235819
2581,25-OCT-06,SC-638N (Roanoke County),  8000638,80-638 Creekside Dr,"80-639 S, Harborwood Rd","80-639 N, West Riverside Dr",450,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.35,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00638NB,765628,1,1,24000,SC-638N (Roanoke County) - ADT 450,2006,719.29783163,0.00559910112020188
2582,2012,US-220N,  US00220,"US 220, VA 42 Botetourt Rd",SR 43 Narrow Passage Rd,Alleghany County Line,5500,G,92.559,0.459,0.756,0.55,5.658,0.024,F,0.0863,F,0.5747,5800,G,Bidirectional,99,Botetourt County,108.95,Botetourt County,0.11478,0.18037,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00220NB,220236,1,1,1600000,US-220N - ADT 5500,2012,20305.9039429,0.151462345563208
2583,2012,US-11S,  US00011S,US 11 Roanoke St,US 460,Functional Class Change,18000,G,96.19,0.549,0.779,1.216,1.187,0.08,C,0.0923,F,0.5061,19000,G,Master Non-Prime,120.931,Montgomery County,120.96,Montgomery County,0.09138,0.07476,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00011SB,20344,1,3,1600000,US-11S - ADT 18000,2012,50.18520231,0.000429383273988179
2584,12-JUL-07,SC-1018E (Bedford County),  0901018,09-1018 Holiday Bob Ct,09-1017 Fox Hollow Rd,Cul-de-Sac,200,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.16,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC01018EB,706178,1,1,48000,SC-1018E (Bedford County) - ADT 200,2007,329.42246075,0.00288951137071998
2585,04-SEP-09,SC-1306E (Roanoke County),  8001306,80-1306 Bower Rd,80-1365 Sharing Cross Dr,Dead End,170,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.72,Roanoke County,0.92,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01306EB,766403,1,1,24000,SC-1306E (Roanoke County) - ADT 170,2009,357.76079787,0.00321228523305441
2586,21-OCT-09,SC-1295N (Roanoke County),  8001295,80-1295 Coronado Dr,80-1183 Fieldgate Rd,Cul-de-Sac,150,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.14,Roanoke County,0.26,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01295NB,796428,1,1,24000,SC-1295N (Roanoke County) - ADT 150,2009,222.65281486,0.00188256675202206
2587,2012,SC-602N (Franklin County),  3300602,33-602 Ferrum Mtn Rd,33-1270 Arthur Circle,33-640 EAST6 Mile Post Rd,200,G,98.871,0.463,0.315,0.112,0.241,0,F,0.1127,F,0.5319,210,G,Bidirectional,0.3,Franklin County,4.54,Franklin County,0.09354,0.18708,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00602NB,405791,1,1,200000,SC-602N (Franklin County) - ADT 200,2012,8162.14475433,0.0652468253348836
2588,20-SEP-11,SC-1334E (Franklin County),  3301334,33-1334 Strawberry Banks Dr,33-616 Morewood Rd,Cul-de-Sac,290,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.87,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01334EB,739053,1,1,48000,SC-1334E (Franklin County) - ADT 290,2011,1752.93217767,0.0145908422971399
2589,23-SEP-09,SC-800N (Roanoke County),  8000800,80-800 Chaparral Dr,80-1562 Woodthrush Dr,80-1748 Tree Swallow Rd,5100,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.83,Roanoke County,0.89,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00800NB,765879,1,1,24000,SC-800N (Roanoke County) - ADT 5100,2009,125.03373627,0.000968170447302983
2590,05-AUG-11,SC-637E (Franklin County),  3300637,33-637 Griffith Hill Rd,33-846 Trigger Jim Rd,"33-789 N, Dry Hill Rd",40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,1,Franklin County,2.3,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00637EB,738223,1,1,48000,SC-637E (Franklin County) - ADT 40,2011,2172.83092128,0.0186725629585055
2591,07-DEC-07,SC-1279E (Montgomery County),  6001279,60-1279 Old Fort Rd,60-1280 Mocking Bird,"60-1275 S, Sandy Circle",210,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.2,Montgomery County,0.26,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC01279EB,754274,1,1,48000,SC-1279E (Montgomery County) - ADT 210,2007,116.96548846,0.00094540834746599
2592,14-MAR-08,SC-643N (Craig County),  2200643,22-643 Howard Hannah Rd,Dead End,22-615,120,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Craig County,1.35,Craig County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA022SC00643NB,719773,1,1,48000,SC-643N (Craig County) - ADT 120,2008,2771.15035032,0.0220284897389629
2593,30-MAY-08,SC-1399N (Franklin County),  3301399,33-1399 Dam Shore Dr,33-1302 Fox Chase Rd,Dead End,90,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.21,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01399NB,782463,1,1,48000,SC-1399N (Franklin County) - ADT 90,2008,427.97177757,0.00340045916351586
2594,20-SEP-06,SC-659N (Roanoke County),  8000659,80-659 Mt Pleasant Blvd,"80-866 S, Ellington St","80-866 N, Ellington St; Gap",90,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.77,Roanoke County,0.91,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00659NB,765669,1,1,24000,SC-659N (Roanoke County) - ADT 90,2006,338.35283903,0.00247635993241371
2595,14-AUG-09,SC-1046E (Roanoke County),  8001046,80-1046 Elizabeth Dr,80-1066 Beavers Lane,Cul-de-Sac,170,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.07,Roanoke County,0.17,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01046EB,766136,1,1,24000,SC-1046E (Roanoke County) - ADT 170,2009,193.82656822,0.00157044460015685
2596,14-AUG-09,SC-1046E (Roanoke County),  8001046,80-1046 Elizabeth Dr,80-1043 Finney Dr,80-1066 Beavers Lane,280,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.07,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01046EB,766135,1,1,24000,SC-1046E (Roanoke County) - ADT 280,2009,129.88600689,0.00116039967411991
2597,08-NOV-06,SC-690E (Roanoke County),  8000690,80-690 Fortune Ridge Rd,80-708 Ivy Ridge Rd,"80-612 S, Slings Gap Rd",110,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,1,Roanoke County,1.24,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00690EB,765712,1,1,24000,SC-690E (Roanoke County) - ADT 110,2006,488.18883899,0.00381595136008427
2598,2012,SC-687E (Roanoke County),  8000687,80-687 Penn Forest Blvd,80-1530 Kenwich Trail,80-904 Starkey Rd,6900,F,99.453,0.159,0.318,0.018,0.053,0,F,0.1113,F,0.5635,7400,F,Bidirectional,0.98,Roanoke County,1.6,Roanoke County,0.09572,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00687EB,400617,1,1,200000,SC-687E (Roanoke County) - ADT 6900,2012,1262.66250781,0.0112539513879554
2599,25-MAY-10,SC-843N (Bedford County),  0900843,09-843 Level Lane,"09-698 S, Villamont Rd","09-698 N, Villamont Rd",40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.27,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00843NB,706098,1,1,48000,SC-843N (Bedford County) - ADT 40,2010,557.40633813,0.00467487902030256
2600,28-AUG-09,SC-1796N (Roanoke County),  8001796,80-1796 Canter Dr,80-1799 Cavalier Dr,Cul-de-Sac,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.59,Roanoke County,0.66,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01796NB,766995,1,1,24000,SC-1796N (Roanoke County) - ADT 80,2009,153.2918228,0.00128694754468847
2601,20-JUL-10,SC-736E (Bedford County),  0900736,09-736 Home Place Rd,SR 122 Moneta Rd,Dead End,160,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,1.6,Bedford County,2.8,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00736EB,705944,1,1,48000,SC-736E (Bedford County) - ADT 160,2010,2607.9163048,0.0230958384087624
2602,13-JUL-11,SC-1607N (Franklin County),  3301607,33-1607 Heatherwood Dr,WCL Boones Mill,33-1606 Dogwood Hill Rd,340,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.25,Franklin County,0.43,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01607NB,739213,1,1,48000,SC-1607N (Franklin County) - ADT 340,2011,344.19119458,0.00274187339445409
2603,2012,SC-659N (Botetourt County),  1100659,11-659 Laymantown Rd,"US 221, US 460",11-658 Welches Run Rd,3300,G,99.056,0.508,0.305,0.087,0.044,0,C,0.1027,F,0.6167,3500,G,Bidirectional,0,Botetourt County,0.2,Botetourt County,0.02876,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00659NB,403567,1,1,200000,SC-659N (Botetourt County) - ADT 3300,2012,437.73191113,0.00343076480630599
2604,24-JUN-10,SC-1578N (Bedford County),  0901578,09-1578 Constitution Way,"09-1576 W, Jefferson Woods Dr","09-1576 E, Jefferson Woods Dr",130,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.28,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC01578NB,706566,1,1,24000,SC-1578N (Bedford County) - ADT 130,2010,586.67779832,0.00446837445912272
2605,22-MAY-09,SC-2060N (Roanoke County),  8002060,80-2060 Stratmore Lane,80-768 Olsen Rd,80-2061 Cardington Dr,440,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.12,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC02060NB,767281,1,1,24000,SC-2060N (Roanoke County) - ADT 440,2009,239.30716078,0.00179486865059585
2606,02-OCT-06,SC-908N (Roanoke County),  8000908,80-908 Clearbrook Park Rd,80-675 Indian Grave Rd,Cul-de-Sac,48,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.2,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00908NB,766013,1,1,24000,SC-908N (Roanoke County) - ADT 48,2006,378.58280923,0.00310897103220803
2607,19-DEC-07,SC-675E (Montgomery County),  6000675,60-675 Smith Creek Rd,"60-674 N, Craigs Mountain Rd; Elliot Creek Rd","Dead End; Gap",30,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,8.05,Montgomery County,9.25,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC00675EB,753975,1,1,48000,SC-675E (Montgomery County) - ADT 30,2007,1298.82376862,0.0104916563583145
2608,14-MAR-08,SC-608E (Craig County),  2200608,22-608 Mill Creek Lane,0.03 ME 17-685 Fenwick Mines Rd,22-615,20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.03,Craig County,0.6,Craig County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA022SC00608EB,719702,1,1,48000,SC-608E (Craig County) - ADT 20,2008,1193.55535082,0.010027703947934
2609,12-DEC-07,SC-609N (Montgomery County),  6000609,60-609 Doosing Lane,"US 11; US 460",60-753 Old Town Rd,450,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,11.82,Montgomery County,11.91,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC00609NB,753862,1,1,48000,SC-609N (Montgomery County) - ADT 450,2007,212.37115598,0.0018151084948741
2610,30-NOV-11,SC-1093N (Franklin County),  3301093,33-1093 Summerbreeze Dr,Dead End,33-687 Alean Rd,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.55,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01093NB,796987,1,1,48000,SC-1093N (Franklin County) - ADT 80,2011,1195.83888459,0.00952143635772853
2611,11-APR-05,SC-611N (Craig County),  2200611,22-611,22-609 Sand Plant Rd,22-615,220,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,8.2,Craig County,9.48,Craig County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA022SC00611NB,719707,1,1,48000,SC-611N (Craig County) - ADT 220,2005,2567.6995006,0.0225708512296262
2612,22-JUN-10,SC-1440E (Bedford County),  0901440,09-1440 Sweeney Circle,09-1429 Crestline Dr,09-661 Bateman Bridge Rd,220,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.38,Bedford County,0.77,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC01440EB,706410,1,1,24000,SC-1440E (Bedford County) - ADT 220,2010,775.0033276,0.00642330378915724
2613,20-MAY-08,SC-702N (Franklin County),  3300702,33-702 Farm View Rd,1.41 MN 33-815,33-871 Longwood Rd,240,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,2.75,Franklin County,3.24,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00702NB,738392,1,1,48000,SC-702N (Franklin County) - ADT 240,2008,866.93663802,0.00759834801155811
2614,2012,ALT US-460W (2 Salem),A2US00460W,"Alt US 460, Alt US 11 Texas St",Idaho St,Lynchburg Tpke,6100,F,97.028,0.2,0.847,0.646,1.255,0.023,C,0.0966,F,0.5639,6500,F,Master Non-Prime,2.207,City of Salem,2.26,City of Salem,0.11109,0.07921,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00460WBALT002,686113,1,3,400000,ALT US-460W (2 Salem) - ADT 6100,2012,105.77366386,0.000918411973131698
2615,2012,US-460W,  US00460W,"US 460, US 221 Blue Ridge Blvd",Blue Ridge Parkway,Bedford County Line,20000,B,88.865,0.689,0.806,1.2,8.184,0.259,C,0.0965,A,0.5465,21000,B,Master Non-Prime,162.59,Botetourt County,165.53,Botetourt County,0.09554,0.37056,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00460WB,20153,1,2,1600000,US-460W - ADT 20000,2012,5853.96687263,0.0475964442164151
2616,2012,SC-635N (Franklin County),  3300635,33-635 Donbrook Mill Rd,US 220 Virgil H Goode Hwy,33-697 Brick Church Rd,1300,G,92.782,0.29,0.979,4.425,1.524,0,C,0.1023,F,0.7708,1300,G,Bidirectional,0,Franklin County,1.64,Franklin County,0,0.0624,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00635NB,405832,1,1,200000,SC-635N (Franklin County) - ADT 1300,2012,3206.38670873,0.0256939667098903
2617,16-MAY-08,SC-1012N (Franklin County),  3301012,33-1012 Power Line Rd,Dead End,33-820 Diamond Ave,20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.11,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01012NB,738841,1,1,48000,SC-1012N (Franklin County) - ADT 20,2008,252.04500282,0.00186946831789168
2618,11-APR-05,SC-670N (Craig County),  2200670,22-670,22-617,22-653,20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Craig County,0.1,Craig County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA022SC00670NB,719815,1,1,48000,SC-670N (Craig County) - ADT 20,2005,219.92881309,0.00176684346714995
2619,01-JUL-09,SC-1203N (Roanoke County),  8001203,80-1203 Wold Run,80-651,Cul-de-Sac,630,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.35,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01203NB,784511,1,1,24000,SC-1203N (Roanoke County) - ADT 630,2009,508.26393842,0.00399314677499325
2620,2012,I-81S,  IS00081S,"I-81 SB, US 220",Roanoke County Line,"Roanoke Rd; Alt US 220 Cloverdale Rd",50000,F,80.043,0.576,0.696,0.612,16.765,1.317,F,0.1015,X,0.5084,50000,F,Master Non-Prime,147.86,Botetourt County,151.03,Botetourt County,0.1421,1.03835,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   IS00081SB,120004,1,1,4000000,I-81S - ADT 50000,2012,6154.49508084,0.0505717482584384
2621,10-JUL-09,SC-612E (Roanoke County),  8000612,80-612 Poor Mountain Rd,2.00 MS 80-639 S,80-916 Forest Fire Trail,50,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,4.13,Roanoke County,7.58,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00612EB,765569,1,1,48000,SC-612E (Roanoke County) - ADT 50,2009,6587.24958687,0.0518132926898201
2622,13-JUN-08,SC-988N (Franklin County),  3300988,33-988 Loop Rd,33-619 Sontag Rd,33-619 Sontag Rd,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.41,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00988NB,738802,1,1,48000,SC-988N (Franklin County) - ADT 70,2008,834.13957711,0.00661893680837534
2623,2012,UR-4N (Town of Blacksburg), 15000004,150-4 Progress St,150-3165 Patrick Henry Dr,Cherokee Dr,870,G,97.44,1.227,0.747,0.426,0.16,0,C,0.0971,F,0.5889,930,G,Bidirectional,0.64,Town of Blacksburg,0.95,Town of Blacksburg,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA150UR00004NB,790879,1,1,200000,UR-4N (Town of Blacksburg) - ADT 870,2012,629.75943047,0.00462677426782979
2624,24-JUN-08,SC-865E (Franklin County),  3300865,33-865 Timberline Rd,33-781 King Richard Rd,1.29 ME 33-781,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,2.73,Franklin County,4.02,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00865EB,738650,1,1,48000,SC-865E (Franklin County) - ADT 70,2008,2704.80532688,0.0213000304800866
2625,08-SEP-11,SC-991E (Franklin County),  3300991,33-991 Rustic Ridge Rd,Dead End,SR 40 Franklin St,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.4,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00991EB,738806,1,1,48000,SC-991E (Franklin County) - ADT 70,2011,753.95738202,0.00614057920114379
